Previous_Location,Locations (city/country),Budget (USD),Weather_condition,Month,Distance (km),Gender,Accommodation,Languages,Travel_Companions
"Nairobi, Kenya","Moscow, Russia",800-1500 USD,Cold,January,6343.22,Male,GuestHouse,['Russian'],Colleagues
"Cape Town, South Africa","Hanoi, Vietnam",500-800 USD,Humid,July,11067.07,Male,Hotel,['Vietnamese'],Couple
"Bangkok, Thailand",Singapore,1500-3000 USD,Sunny,February,1426.76,Male,Airbnb,"['English', 'Mandarin']",Couple
"Santiago, Chile","Hanoi, Vietnam",500-800 USD,Humid,August,18592.17,Male,Hotel,['Vietnamese'],Family
"Cairo, Egypt","Dubai, UAE",1500-3000 USD,Rainy,December,2423.28,Male,Hotel,"['Arabic', 'English']",Couple
"London, UK","New York, USA",1500-3000 USD,Snowy,January,5570.22,Male,Airbnb,"['English', 'Spanish']",Friends
"Dubai, UAE","Moscow, Russia",800-1500 USD,Sunny,July,3679.77,Male,GuestHouse,['Russian'],Colleagues
"New York, USA","Mexico City, Mexico",800-1500 USD,Rainy,July,3359.38,Male,GuestHouse,['Spanish'],Friends
"Santiago, Chile","Sydney, Australia",1500-3000 USD,Rainy,April,11346.72,Female,GuestHouse,['English'],Family
"Hanoi, Vietnam","Los Angeles, USA",1500-3000 USD,Sunny,August,12315.95,Male,Hotel,"['English', 'Spanish']",Friends
"Berlin, Germany","Istanbul, Turkey",800-1500 USD,Sunny,May,1737.87,Male,Hotel,['Turkish'],Couple
"Cairo, Egypt","Tokyo, Japan",1500-3000 USD,Sunny,July,9562.07,Male,GuestHouse,['Japanese'],Couple
"Cairo, Egypt","Hanoi, Vietnam",500-800 USD,Humid,August,7427.62,Female,Hotel,['Vietnamese'],Family
"Paris, France","Bangkok, Thailand",500-800 USD,Humid,June,9443.1,Male,GuestHouse,"['Thai', 'English']",Family
"Lisbon, Portugal","Buenos Aires, Argentina",800-1500 USD,Sunny,December,9599.5,Female,Hotel,['Spanish'],Couple
"Mexico City, Mexico","London, UK",1500-3000 USD,Sunny,July,8928.73,Female,Airbnb,['English'],Couple
"New York, USA","Amsterdam, Netherlands",1500-3000 USD,Sunny,May,5863.22,Female,GuestHouse,"['Dutch', 'English']",Friends
"Istanbul, Turkey","Rome, Italy",1500-3000 USD,Rainy,November,1375.04,Male,Hotel,['Italian'],Family
"Kuala Lumpur, Malaysia","Toronto, Canada",1500-3000 USD,Sunny,August,14811.25,Female,Airbnb,"['English', 'French']",Couple
"Santiago, Chile","Cape Town, South Africa",800-1500 USD,Windy,October,7941.88,Male,GuestHouse,"['English', 'Afrikaans', 'Xhosa']",Couple
